,id,delay_cost,vehicle_hours_of_delay
205,FUL_GA-166,788826.29,18854.3
206,FUL_GA-237,4826572.21,115363.4
207,FUL_GA-279,2511722.49,60034.5
208,FUL_GA-3,6782639.82,162116.7
209,FUL_GA-372,441366.69,10549.4
210,FUL_GA-400,56313592.77,1345991.5
211,FUL_GA-400 N,7404324.68,176976.1
212,FUL_GA-400 S,20170722.22,482114.9
213,FUL_GA-42,17809.12,425.7
214,FUL_GA-54,323009.97,7720.5
215,FUL_GA-6,3345760.98,79969.4
216,FUL_GA-70 N,34050.48,813.9
217,FUL_GA-70 S,7606.13,181.8
218,FUL_GA-74,1857527.61,44398.1
219,FUL_GA-9,1119523.62,26758.5
220,FUL_GA-92,298613.49,7137.4
221,FUL_HAMMOND,839867.15,20074.3
222,FUL_HOUZE,3340778.32,79850.3
223,FUL_HUTCHESON,-999.0,-999.0
224,FUL_HWY 92,2515666.07,60128.7
225,FUL_I-20,8574207.06,204938.3
226,FUL_I-285 N,65400557.36,1563185.6
227,FUL_I-285 W,30170483.73,721126.3
228,FUL_I-75 MAG N,3164642.74,75640.4
229,FUL_I-75 MAG S,355599.04,8499.4
230,FUL_I-75 N,43553965.77,1041014.5
231,FUL_I-75 S,8313614.01,198709.6
232,FUL_I-75/85,185738074.29,4439458.7
233,FUL_I-75/85 MAG,5463847.55,130595.3
234,FUL_I-85,8634148.61,206371.0
235,FUL_MARIETTA,3172864.38,75836.9
236,FUL_McGINNIS,3970379.52,94898.9
237,FUL_MOORES,4181207.36,99938.0
238,FUL_OLD ALABAMA,2607850.4,62332.1
239,FUL_PEACH-DUNW,913103.15,21824.7
240,FUL_PEACHTREE,304287.84,7273.0
241,FUL_PLEASANT HILL,3973854.27,94981.9
242,FUL_RALPH,149582.3,3575.3
243,FUL_ROOSEVELT,2067864.58,49425.5
244,FUL_ROSWELL,5101234.86,121928.3
245,FUL_S FULTON,93183.15,2227.2
246,FUL_STATE BRIDGE,1494623.25,35724.1
247,FUL_STONEWALL,445533.5,10649.0
248,FUL_TED,532160.27,12719.5
249,FUL_US-19,935708.53,22365.0
250,FUL_US-278,4792860.98,114557.6
251,FUL_US-29,1217601.23,29102.8
252,FUL_US-41,3382443.05,80846.2
253,FUL_WOODSTOCK,6454449.09,154272.4
254,GWI_BUFORD,1018275.59,24338.5
255,GWI_GA-10,16049995.97,383622.4
256,GWI_GA-120 E,586703.2,14023.2
257,GWI_GA-120 W,1408174.74,33657.8
258,GWI_GA-124,13176391.39,314938.4
259,GWI_GA-140,7274327.17,173868.9
